source,year_filter,district_filter,outcome,feature,family,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
OpenElections contributions,2024,all,mentions,same_district_bin_count_medium,geography_bins,65,0.4131193481994559,0.0006257665562991257,0.5850218551641894,3.0920644242006705e-07,0.4131193481994559,0.5850218551641894,0.0017927366207488467,8.858346728791111e-07
OpenElections contributions,2024,all,mentions,same_district_bin_count_share_medium,geography_bins,61,0.016018325738043585,0.9024818686111802,0.43965340307537354,0.00039240281783160216,0.016018325738043585,0.43965340307537354,0.9471591888394564,0.0009243266375588851
OpenElections contributions,2024,all,mentions,same_district_bin_count_large,geography_bins,65,0.4462505870860367,0.0001946760209931033,0.6463195427527856,6.06274152569063e-09,0.4462505870860367,0.6463195427527856,0.000573212728479693,1.7851405603422413e-08
OpenElections contributions,2024,all,mentions,same_district_bin_count_share_large,geography_bins,61,-0.09331014727274978,0.474447457666397,0.20302070630922317,0.11659432333887272,0.09331014727274978,0.20302070630922317,0.6363350123919567,0.16701349018811498
OpenElections contributions,2024,all,mentions,portland_bin_count_micro,geography_bins,65,0.631972764773139,1.6443102364994663e-08,0.6709508357001008,9.618489792034136e-10,0.631972764773139,0.6709508357001008,7.262370211205975e-08,3.3985330598520615e-09
OpenElections contributions,2024,all,mentions,portland_bin_count_share_micro,geography_bins,62,-0.029847990659942286,0.8178651662118877,-0.08362922112261087,0.5181306818139376,0.029847990659942286,0.08362922112261087,0.9402885774740548,0.6102428030253043
OpenElections contributions,2024,all,mentions,portland_bin_count_small,geography_bins,65,0.7150838702557392,2.205932912944957e-11,0.7311619149226298,4.650402535544111e-12,0.7150838702557392,0.7311619149226298,1.798683759785888e-10,2.594435098777241e-11
OpenElections contributions,2024,all,mentions,portland_bin_count_share_small,geography_bins,62,0.019113737464280793,0.8827750429343266,0.06371191137754255,0.62274835895383,0.019113737464280793,0.06371191137754255,0.9464257618272381,0.7022481494585742
OpenElections contributions,2024,all,mentions,portland_bin_count_medium,geography_bins,65,0.5875946178986655,2.6644173800364976e-07,0.6660589889308234,1.4055859995679487e-09,0.5875946178986655,0.6660589889308234,9.738904906340301e-07,4.514912604672805e-09
OpenElections contributions,2024,all,mentions,portland_bin_count_share_medium,geography_bins,62,0.09231729500273511,0.47544986169348047,0.40794940125826795,0.000997350109122348,0.09231729500273511,0.40794940125826795,0.6363350123919567,0.0022982415558036717
OpenElections contributions,2024,all,mentions,portland_bin_count_large,geography_bins,65,0.5116648312542303,1.3238704776158534e-05,0.7064892720841812,4.857210853982913e-11,0.5116648312542303,0.7064892720841812,4.009436303636585e-05,2.2385406544442987e-10
OpenElections contributions,2024,all,mentions,portland_bin_count_share_large,geography_bins,62,-0.025438552142204432,0.8444076861305249,0.22360399795123165,0.08063332027822416,0.025438552142204432,0.22360399795123165,0.9421812076824804,0.13129202553239622
OpenElections contributions,2024,all,mentions,oregon_bin_count_micro,geography_bins,65,0.6192361879245292,3.823395681295562e-08,0.6670527704105907,1.3020769596286013e-09,0.6192361879245292,0.6670527704105907,1.484923858832149e-07,4.452263152278444e-09
OpenElections contributions,2024,all,mentions,oregon_bin_count_share_micro,geography_bins,65,-0.1420081753157052,0.2591418927496523,-0.19818835434262583,0.11351612512972775,0.1420081753157052,0.19818835434262583,0.422600625099433,0.16483163375001564
OpenElections contributions,2024,all,mentions,oregon_bin_count_small,geography_bins,65,0.795975574226853,2.2978084217755335e-15,0.8029417267362144,8.618037166231166e-16,0.795975574226853,0.8029417267362144,4.871353854164131e-14,1.8270238792410068e-14
OpenElections contributions,2024,all,mentions,oregon_bin_count_share_small,geography_bins,65,0.1722080150530012,0.17015108409490415,0.20435100909228074,0.10250172349106676,0.1722080150530012,0.20435100909228074,0.31096577438034206,0.15303074211342363
OpenElections contributions,2024,all,mentions,oregon_bin_count_medium,geography_bins,65,0.6701270552035543,1.0258097627985881e-09,0.7542898713826859,4.03274167017024e-13,0.6701270552035543,0.7542898713826859,6.040879714258353e-09,2.864932674012396e-12
OpenElections contributions,2024,all,mentions,oregon_bin_count_share_medium,geography_bins,65,0.13209616441095712,0.294208480794186,0.4352394032502544,0.0002908200725590023,0.13209616441095712,0.4352394032502544,0.4455156994883388,0.0007006119929830509
OpenElections contributions,2024,all,mentions,oregon_bin_count_large,geography_bins,65,0.5507090607836751,2.0032459618116514e-06,0.6999052517397968,8.726056229193064e-11,0.5507090607836751,0.6999052517397968,6.434668847031365e-06,3.557546001132557e-10
OpenElections contributions,2024,all,mentions,oregon_bin_count_share_large,geography_bins,65,-0.017035974636903435,0.8928544922898474,0.21367960370853456,0.08742976283592924,0.017035974636903435,0.21367960370853456,0.9464257618272381,0.13622172515660042
OpenElections contributions,2024,all,mentions,oregon_bin_count_mega,geography_bins,65,0.2372563948031136,0.05704366735812214,0.287318669171491,0.020305423236355466,0.2372563948031136,0.287318669171491,0.11856134784237152,0.03958768472468
OpenElections contributions,2024,all,mentions,oregon_bin_count_share_mega,geography_bins,65,0.2625533145481391,0.03460740754045888,0.288747083015349,0.019663398427973343,0.2625533145481391,0.288747083015349,0.08151967109530313,0.03958768472468
OpenElections contributions,2024,all,first_place_votes,total_amount,scale,65,0.7517739645478205,5.329761374249666e-13,0.7642045454545454,1.2997353015366883e-13,0.7517739645478205,0.7642045454545454,9.415911761174409e-12,2.1356415846685516e-12
OpenElections contributions,2024,all,first_place_votes,total_record_count,scale,65,0.6788316694737235,5.141457775749966e-10,0.7139813156042446,2.444918948672336e-11,0.6788316694737235,0.7139813156042446,3.406215776434353e-09,1.524478873878045e-10
OpenElections contributions,2024,all,first_place_votes,mean_amount,scale,65,0.014298052172530037,0.9099959720649359,0.14012237762237761,0.265585628537041,0.014298052172530037,0.14012237762237761,0.9456820886165019,0.33514376934436124
OpenElections contributions,2024,all,first_place_votes,median_amount,scale,65,0.01807641979655194,0.8863528700588164,0.1067585787120255,0.3973088605534925,0.01807641979655194,0.1067585787120255,0.9395340422623453,0.4840774622835656
OpenElections contributions,2024,all,first_place_votes,bin_amount_micro,overall_bins,65,0.648447537385435,5.205342655179558e-09,0.7248768015817508,8.658145340623322e-12,0.648447537385435,0.7248768015817508,2.5080287338592413e-08,7.648028384217269e-11
OpenElections contributions,2024,all,first_place_votes,bin_amount_share_micro,overall_bins,65,-0.12129262377840222,0.33580967808603474,-0.10004370629370629,0.4278243731910396,0.12129262377840222,0.10004370629370629,0.5257742876278817,0.5038820395361133
OpenElections contributions,2024,all,first_place_votes,bin_count_micro,overall_bins,65,0.5676497835632268,8.176002474456083e-07,0.6214364547631234,3.3137094716227235e-08,0.5676497835632268,0.6214364547631234,3.011909224754225e-06,1.1708440133066957e-07
OpenElections contributions,2024,all,first_place_votes,bin_count_share_micro,overall_bins,65,-0.11524391585646505,0.3606386276307699,-0.16577797202797204,0.18691368873064976,0.11524391585646505,0.16577797202797204,0.5384182328008678,0.24718007664871175
OpenElections contributions,2024,all,first_place_votes,bin_amount_small,overall_bins,65,0.792593707922005,3.649172552920469e-15,0.7737846786375229,4.124552138349973e-14,0.792593707922005,0.7737846786375229,2.297796873479671e-13,1.2655236291683524e-12
OpenElections contributions,2024,all,first_place_votes,bin_amount_share_small,overall_bins,65,0.16449300336670442,0.19040147549789332,0.1729020979020979,0.1684096563629026,0.16449300336670442,0.1729020979020979,0.3283908238505917,0.22596738701857816
OpenElections contributions,2024,all,first_place_votes,bin_count_small,overall_bins,65,0.7797870412784569,1.9521183579722797e-14,0.7728082371564412,4.648236662122728e-14,0.7797870412784569,0.7728082371564412,4.138490918901233e-13,1.2655236291683524e-12
OpenElections contributions,2024,all,first_place_votes,bin_count_share_small,overall_bins,65,0.18728713460919666,0.13519835700428134,0.2089620734617034,0.09481753208100688,0.18728713460919666,0.2089620734617034,0.24723137786907123,0.1415585690223483
OpenElections contributions,2024,all,first_place_votes,bin_amount_medium,overall_bins,65,0.6761787520179111,6.361867483977467e-10,0.7344003648108015,3.3531093163201507e-12,0.6761787520179111,0.7344003648108015,3.687218898922873e-09,3.949217639221511e-11
OpenElections contributions,2024,all,first_place_votes,bin_amount_share_medium,overall_bins,65,0.10940544073263418,0.3856415918379592,0.28319126359559893,0.022261716653941322,0.10940544073263418,0.28319126359559893,0.5599727223948449,0.03999562653080983
OpenElections contributions,2024,all,first_place_votes,bin_count_medium,overall_bins,65,0.6817624746932884,4.0530293648961257e-10,0.7280615632540723,6.332532505918378e-12,0.6817624746932884,0.7280615632540723,3.0687222334213525e-09,6.102258596612254e-11
OpenElections contributions,2024,all,first_place_votes,bin_count_share_medium,overall_bins,65,0.03859714722815935,0.7601711756762816,0.3156974476309842,0.010415384977063452,0.03859714722815935,0.3156974476309842,0.8572143044860197,0.020445014954976408
