district,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
1,first_place_votes,oregon_count,geography,record count,13,0.7190256393329671,0.005609577296487646,0.7417582417582418,0.003701313735752629,0.7190256393329671,0.7417582417582418,0.03686926149621009,0.02225311773699943
1,first_place_votes,oregon_share,geography,record share,13,-0.607448051030651,0.027665042295470607,-0.6132690283219112,0.025815994903126846,0.607448051030651,0.6132690283219112,0.07448280618011317,0.08405207642878508
1,first_place_votes,same_district_bin_count_micro,geography_bins,record count,13,0.17187046977400958,0.5744883815884803,0.34065934065934067,0.25470646075412506,0.17187046977400958,0.34065934065934067,0.7733497444460311,0.43371618509985393
1,first_place_votes,same_district_bin_count_share_micro,geography_bins,record share,12,0.2891458472642138,0.3620167466069467,0.16462372005951137,0.6091580087875201,0.2891458472642138,0.16462372005951137,0.5334983634207635,0.6822569698420226
1,first_place_votes,same_district_bin_count_small,geography_bins,record count,13,0.4710648455038732,0.10419957706494976,0.34615384615384615,0.24662526251007164,0.4710648455038732,0.34615384615384615,0.21773045953870096,0.43371618509985393
1,first_place_votes,same_district_bin_count_share_small,geography_bins,record share,12,-0.3034037353365127,0.3377202930598236,-0.22377622377622378,0.4844516614553987,0.3034037353365127,0.22377622377622378,0.5083961400900571,0.594940636875051
1,first_place_votes,same_district_bin_count_medium,geography_bins,record count,13,0.014540872111586058,0.9623961541674079,0.2011455703204534,0.5099262875440831,0.014540872111586058,0.2011455703204534,0.98105815996621,0.6101682073177063
1,first_place_votes,same_district_bin_count_share_medium,geography_bins,record share,12,-0.1416613118665367,0.6605415909659993,0.2294737135017989,0.47309662377181655,0.1416613118665367,0.2294737135017989,0.8484020434425679,0.5861374099827815
1,first_place_votes,same_district_bin_count_large,geography_bins,record count,13,0.37611704242579963,0.20529466721085454,0.4232512411132155,0.1495629729176325,0.37611704242579963,0.4232512411132155,0.3991840751322172,0.29491290434462747
1,first_place_votes,same_district_bin_count_share_large,geography_bins,record share,12,0.050995436021028934,0.8749375462306292,0.2175341351436112,0.49703271508304847,0.050995436021028934,0.2175341351436112,0.9569629411897508,0.6050833053184939
1,first_place_votes,portland_bin_count_micro,geography_bins,record count,13,0.5294493387715489,0.06278345062658461,0.5879120879120878,0.03458605834210789,0.5294493387715489,0.5879120879120878,0.13870773690402852,0.10760107039766897
1,first_place_votes,portland_bin_count_share_micro,geography_bins,record share,12,0.3155668527652443,0.317711030502275,0.15384615384615385,0.6330906812462617,0.3155668527652443,0.15384615384615385,0.4918105302612765,0.703434090273624
1,first_place_votes,portland_bin_count_small,geography_bins,record count,13,0.5341915306581815,0.06003518275505161,0.6593406593406593,0.014225578511456699,0.5341915306581815,0.6593406593406593,0.13870773690402852,0.04978952479009845
1,first_place_votes,portland_bin_count_share_small,geography_bins,record share,12,-0.3764376634641634,0.2277849509167001,-0.30069930069930073,0.34225952894002437,0.3764376634641634,0.30069930069930073,0.419603856951816,0.4854847800464694
1,first_place_votes,portland_bin_count_medium,geography_bins,record count,13,0.6023328807401687,0.029368742349498343,0.5635251780910024,0.044899196030168315,0.6023328807401687,0.5635251780910024,0.07614118386906978,0.11742948074898261
1,first_place_votes,portland_bin_count_share_medium,geography_bins,record share,12,-0.005579378765047341,0.986270067452062,0.1690182756489597,0.5994978698235762,0.005579378765047341,0.1690182756489597,0.986270067452062,0.6768524336717796
1,first_place_votes,portland_bin_count_large,geography_bins,record count,13,0.7486178688957805,0.0032384080755180973,0.6976131092772546,0.008025025456628523,0.7486178688957805,0.6976131092772546,0.03686926149621009,0.028807783690461365
1,first_place_votes,portland_bin_count_share_large,geography_bins,record share,12,0.05455246464376608,0.8662810689899278,0.42254568912239926,0.17117595198400157,0.05455246464376608,0.42254568912239926,0.9569629411897508,0.33284212885778086
1,first_place_votes,oregon_bin_count_micro,geography_bins,record count,13,0.7020648800022178,0.00746748322033793,0.7527472527472527,0.002982233389169849,0.7020648800022178,0.7527472527472527,0.03804251467919226,0.02225311773699943
1,first_place_votes,oregon_bin_count_share_micro,geography_bins,record share,13,0.2704155142505966,0.37155194428323257,0.24725274725274726,0.4154051197255381,0.2704155142505966,0.24725274725274726,0.5418465854130475,0.557612829375993
1,first_place_votes,oregon_bin_count_small,geography_bins,record count,13,0.7060033910457688,0.006999337915215896,0.7032967032967032,0.007318569842104322,0.7060033910457688,0.7032967032967032,0.03768874262039328,0.02769188588904338
1,first_place_votes,oregon_bin_count_share_small,geography_bins,record share,13,-0.3295215015200713,0.27156452036498574,-0.26373626373626374,0.3839365166506742,0.3295215015200713,0.26373626373626374,0.47147056176122515,0.5365147626695275
1,first_place_votes,oregon_bin_count_medium,geography_bins,record count,13,0.7321951636123127,0.004430205118848537,0.7300303183286789,0.0046095743883784535,0.7321951636123127,0.7300303183286789,0.03686926149621009,0.02225311773699943
1,first_place_votes,oregon_bin_count_share_medium,geography_bins,record share,13,0.14068469996411292,0.6466455922728991,0.2448420473069246,0.42011354710149923,0.14068469996411292,0.2448420473069246,0.8391714575617697,0.557612829375993
1,first_place_votes,oregon_bin_count_large,geography_bins,record count,13,0.7389221629120326,0.003906994867213067,0.7856342780788832,0.0014569365831817143,0.7389221629120326,0.7856342780788832,0.03686926149621009,0.02225311773699943
