source,year_filter,district_filter,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
OpenElections contributions,2024,all,first_place_votes,cash_bin_amount_large,cash_in_kind_bins,dollar amount,65,0.5120273841623817,1.3022320956389267e-05,0.6771997701254442,5.862705078081767e-10,0.5120273841623817,0.6771997701254442,4.557812334736244e-05,2.6476732610691854e-09
OpenElections contributions,2024,all,first_place_votes,bin_amount_large,overall_bins,dollar amount,65,0.5069163894738291,1.6399631121673192e-05,0.6797578502640532,4.770541351850801e-10,0.5069163894738291,0.6797578502640532,5.5998740415469436e-05,2.3030199629624555e-09
OpenElections contributions,2024,all,first_place_votes,individual_bin_amount_large,individual_business_bins,dollar amount,65,0.5061958136675913,1.693652187666396e-05,0.677753950020053,5.607611371276499e-10,0.5061958136675913,0.677753950020053,5.64550729222132e-05,2.6168853065956998e-09
OpenElections contributions,2024,all,first_place_votes,portland_bin_count_large,geography_bins,record count,65,0.48438187180640047,4.3426781361008976e-05,0.6601649887300036,2.1995613344706152e-09,0.48438187180640047,0.6601649887300036,0.00014138952071026179,9.331472328057155e-09
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_amount_share_large,cash_in_kind_bins,dollar share,28,-0.4814713733498912,0.009484961244220585,-0.46681089613257043,0.012270739093335219,0.4814713733498912,0.46681089613257043,0.028867273351975694,0.026028840501014103
OpenElections contributions,2024,all,first_place_votes,same_district_bin_count_medium,geography_bins,record count,65,0.45372402493346325,0.00014709177908064612,0.5270709215344166,6.462106210041117e-06,0.45372402493346325,0.5270709215344166,0.00046801929707478314,2.010433043123903e-05
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_count_share_small,cash_in_kind_bins,record share,28,0.4507327132365463,0.016077830121903246,0.30630811935614544,0.11289580176157987,0.4507327132365463,0.30630811935614544,0.04789140887375435,0.16637276049074928
OpenElections contributions,2024,all,first_place_votes,same_district_bin_count_large,geography_bins,record count,65,0.41706417859223255,0.0005479170568136015,0.5800394349284711,4.11026222550506e-07,0.41706417859223255,0.5800394349284711,0.0017046308434200935,1.3382249106295544e-06
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_amount_share_small,cash_in_kind_bins,dollar share,28,0.4105078938816489,0.03001914541635994,0.2321732281184877,0.2344933372590476,0.4105078938816489,0.2321732281184877,0.08405360716580783,0.30681371230155763
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_count_share_large,cash_in_kind_bins,record share,28,-0.39231710533473896,0.03893122587022972,-0.4633713599885724,0.013014645433403594,0.39231710533473896,0.4633713599885724,0.09237918003105358,0.027194781502634376
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_amount_share_micro,cash_in_kind_bins,dollar share,28,-0.3129656629948771,0.10489126940665276,-0.21756394470526141,0.2660779481167077,0.3129656629948771,0.21756394470526141,0.21737617469265744,0.33916927434682376
OpenElections contributions,2024,all,first_place_votes,bin_count_share_mega,overall_bins,record share,65,0.28980000454153837,0.019201294939822613,0.34108720501121814,0.005427766715966324,0.28980000454153837,0.34108720501121814,0.05600377690781595,0.01265869686245418
OpenElections contributions,2024,all,first_place_votes,oregon_bin_count_share_mega,geography_bins,record share,65,0.2865714830303168,0.0206483094947729,0.33968575761117714,0.005634460648029616,0.2865714830303168,0.33968575761117714,0.05899516998506543,0.01265869686245418
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_amount_small,cash_in_kind_bins,dollar amount,65,0.26464430612557244,0.03314074735225579,0.41898126485294723,0.0005133584405093745,0.26464430612557244,0.41898126485294723,0.08965720673218144,0.0013309292902094895
OpenElections contributions,2024,all,first_place_votes,bin_amount_mega,overall_bins,dollar amount,65,0.2634931120018017,0.03394165683432583,0.3396384607916824,0.005641555518758428,0.2634931120018017,0.3396384607916824,0.08965720673218144,0.01265869686245418
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_amount_mega,cash_in_kind_bins,dollar amount,65,0.2634931120018017,0.03394165683432583,0.3396384607916824,0.005641555518758428,0.2634931120018017,0.3396384607916824,0.08965720673218144,0.01265869686245418
OpenElections contributions,2024,all,first_place_votes,in_kind_amount,cash_in_kind,dollar amount,65,0.2597732317271011,0.03664083531507894,0.50611283701073,1.6999384911392145e-05,0.2597732317271011,0.50611283701073,0.09237918003105358,5.0636465693508523e-05
OpenElections contributions,2024,all,first_place_votes,bin_count_mega,overall_bins,record count,65,0.25880422517495,0.037372534493575624,0.33973792733390173,0.005626643917216975,0.25880422517495,0.33973792733390173,0.09237918003105358,0.01265869686245418
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_count_mega,cash_in_kind_bins,record count,65,0.25880422517495,0.037372534493575624,0.33973792733390173,0.005626643917216975,0.25880422517495,0.33973792733390173,0.09237918003105358,0.01265869686245418
OpenElections contributions,2024,all,first_place_votes,cash_bin_count_share_small,cash_in_kind_bins,record share,65,0.25738664080392504,0.03846478760265047,0.3010118228826919,0.014828224131291192,0.25738664080392504,0.3010118228826919,0.09237918003105358,0.030086251860590822
