candidate_key,canonical_candidate,district,is_viable,fundraising,mentions,predicted,residual,money_measure,outcome_measure,district_r_squared,first_place_votes,total_spending
2024|4|eli arnold,Eli Arnold,4,True,50778.15,34636.0,23852.2992200515,10783.7007799485,Fundraising,mentions,0.37418439783999424,,
2024|4|chad lykins,Chad Lykins,4,True,47007.66,25423.0,23503.526146403943,1919.4738535960569,Fundraising,mentions,0.37418439783999424,,
2024|4|eric zimmerman,Eric Zimmerman,4,True,41878.55,36731.0,22981.256151465153,13749.743848534847,Fundraising,mentions,0.37418439783999424,,
2024|4|sarah silkie,Sarah Silkie,4,True,25477.64,32039.0,20734.771305400747,11304.228694599253,Fundraising,mentions,0.37418439783999424,,
2024|4|lisa freeman,Lisa Freeman,4,True,25827.58,21644.0,20796.435966861878,847.5640331381219,Fundraising,mentions,0.37418439783999424,,
2024|4|bob weinstein,Bob Weinstein,4,True,33919.91,20934.0,22028.492727709607,-1094.4927277096067,Fundraising,mentions,0.37418439783999424,,
2024|4|chris henry,Chris Henry,4,False,5474.24,3199.0,13784.062172614125,-10585.062172614125,Fundraising,mentions,0.37418439783999424,,
2024|4|tony morse,Tony Morse,4,False,41809.6,13246.0,22973.807553468476,-9727.807553468476,Fundraising,mentions,0.37418439783999424,,
2024|4|olivia clark,Olivia Clark,4,True,95639.0,45205.0,26714.238863830862,18490.761136169138,Fundraising,mentions,0.37418439783999424,,
2024|4|john toran,John Toran,4,False,180.0,8652.0,-1628.4876615271896,10280.48766152719,Fundraising,mentions,0.37418439783999424,,
2024|4|ben hufford,Ben Hufford,4,False,49074.17,12275.0,23698.00334736381,-11423.00334736381,Fundraising,mentions,0.37418439783999424,,
2024|1|timur ender,Timur Ender,1,True,61809.84,,5148.355045733535,-1598.355045733535,Fundraising,first_place_votes,0.6832160810019223,3550.0,
2024|1|terrence hayes,Terrence Hayes,1,True,36108.05,,4517.03255531976,-542.0325553197599,Fundraising,first_place_votes,0.6832160810019223,3975.0,
2024|1|loretta smith,Loretta Smith,1,True,43744.96,,4742.362611798606,843.6373882013941,Fundraising,first_place_votes,0.6832160810019223,5586.0,
2024|1|deian salazar,Deian Salazar,1,False,1380.0,,683.851740873879,36.14825912612105,Fundraising,first_place_votes,0.6832160810019223,720.0,
2024|1|noah ernst,Noah Ernst,1,True,12993.18,,3316.6682929493472,735.3317070506528,Fundraising,first_place_votes,0.6832160810019223,4052.0,
2024|1|jamie dunphy,Jamie Dunphy,1,True,35174.53,,4486.269661527498,577.7303384725019,Fundraising,first_place_votes,0.6832160810019223,5064.0,
2024|1|doug clove,Doug Clove,1,False,1505.0,,785.6192542622484,912.3807457377516,Fundraising,first_place_votes,0.6832160810019223,1698.0,
