district,candidate,log_total_amount,total_amount,total_contribution_count,total_spending,mentions,first_place_votes,predicted_mentions,residual
2,Mariah Hudson,11.214555547101593,74201.68,1112,154825.11000000002,20051.0,2287.0,26348.358717530828,-6297.358717530828
2,James Armstrong,10.13646974529816,25246.18,426,63784.29,13504.0,1476.0,20037.351190262154,-6533.351190262154
2,Sam Sachs,8.377933422930662,4349.01,70,5480.68,2824.0,304.0,9743.053696619667,-6919.053696619667
3,Kelly Janes (KJ),8.461891875631148,4730.0,66,9301.96,2684.0,225.0,10234.538164817131,-7550.5381648171315
4,Chris Henry,8.607991389340388,5474.24,589,28935.93,3199.0,301.0,11089.79025069649,-7890.790250696489
2,Reuben Berlin,8.75004625250934,6309.98,81,9124.48,3784.0,656.0,11921.365352830937,-8137.365352830937
3,Harrison Kass,9.684017869296454,16057.89,372,60367.86,9223.0,2786.0,17388.742711793187,-8165.7427117931875
1,Timur Ender,11.03183403259495,61809.84,1260,157642.42,16858.0,3550.0,25278.72506544456,-8420.72506544456
2,Michael (Mike) Marshall,10.916466060347723,55074.82,663,100931.24,15684.0,1646.0,24603.372380120236,-8919.372380120236
2,Bob Simril,10.174697196419377,26230.0,424,80881.96,11062.0,2520.0,20261.130903686382,-9199.130903686382
3,Theo Hathaway Saner,8.92345664742656,7504.99,238,12588.82,3525.0,219.0,12936.492632866059,-9411.492632866059
4,Tony Morse,10.64090517488146,41809.6,554,81288.87,13246.0,2004.0,22990.26624377258,-9744.266243772581
4,Mike DiNapoli,8.894258825002703,7289.0,131,7389.0,3001.0,315.0,12765.571471685224,-9764.571471685224
2,Laura Streib,9.27981232868348,10718.42,318,30462.27,4848.0,707.0,15022.563503139354,-10174.563503139354
4,Ben Hufford,10.801108483224246,49074.17,662,89305.67,12275.0,1694.0,23928.08054682098,-11653.08054682098
2,Debbie Kitchin,10.459837441796896,34884.88,460,70605.48,9088.0,1228.0,21930.313664366928,-12842.313664366928
2,Nabil Zaghloul,10.184333813978627,26484.0,1111,109719.75,6482.0,834.0,20317.542708620742,-13835.542708620742
4,Moses Ross,10.236297017964763,27896.63,1021,110289.04,5238.0,578.0,20621.730159145474,-15383.730159145474
4,Stanley Penkin,11.03243504100031,61847.0,830,105363.28,9570.0,1092.0,25282.243309135214,-15712.243309135214
