year,contest_type,office,district,profile_key,candidate,spending_amount_micro,spending_amount_small,spending_amount_medium,spending_amount_large,spending_amount_mega,spending_amount_share_micro,spending_amount_share_small,spending_amount_share_medium,spending_amount_share_large,spending_amount_share_mega,spending_count_micro,spending_count_small,spending_count_medium,spending_count_large,spending_count_mega,spending_count_share_micro,spending_count_share_small,spending_count_share_medium,spending_count_share_large,spending_count_share_mega,total_spending,expenditure_count,average_expenditure,median_expenditure,min_expenditure,max_expenditure,std_expenditure,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2024,city_council,Portland City Council,2,2024|2|orestar|burnell,Burnell,100.31,587.52,440.0,2271.99,1650.0,0.019864074363046606,0.11634474100066933,0.08713181855986947,0.4499150464769041,0.3267443195995105,14,9,3,4,1,0.45161290322580644,0.2903225806451613,0.0967741935483871,0.12903225806451613,0.03225806451612903,5049.82,31,162.8974193548387,55.0,0.7,1650.0,344.55690395025454,Burnell,Burnell,,,unmatched_source_candidate
2024,city_council,Portland City Council,2,2024|2|orestar|emerson,Emerson,124.16,245.75,115.0,1100.0,0.0,0.0783388331198617,0.15505612306061545,0.07255932513518118,0.6940457186843417,0.0,14,6,1,2,0,0.6086956521739131,0.2608695652173913,0.043478260869565216,0.08695652173913043,0.0,1584.9099999999999,23,68.9091304347826,14.85,0.79,750.0,165.29779723861043,Emerson,Emerson,,,unmatched_source_candidate
2024,city_council,Portland City Council,2,2024|2|orestar|middleton,Middleton,88.84,764.6,2954.6,2835.37,0.0,0.013372650491238687,0.11509149668618977,0.44474148065526586,0.42679437216730565,0.0,13,17,21,7,0,0.22413793103448276,0.29310344827586204,0.3620689655172414,0.1206896551724138,0.0,6643.41,58,114.54155172413793,91.985,0.53,694.0,137.80823972515722,Middleton,Middleton,,,unmatched_source_candidate
2024,city_council,Portland City Council,2,2024|2|orestar|sherman,Sherman,151.66,543.16,1722.62,1822.72,0.0,0.03576751820686012,0.12809893966265423,0.40626297120863364,0.42987057092185205,0.0,27,11,11,5,0,0.5,0.2037037037037037,0.2037037037037037,0.09259259259259259,0.0,4240.16,54,78.52148148148147,23.83,0.53,442.72,111.59204403586943,Sherman,Sherman,,,unmatched_source_candidate
2024,city_council,Portland City Council,2,2024|2|reuben berlin,Reuben Berlin,56.37,621.36,1235.77,4373.05,2837.9300000000003,0.0061778863014659464,0.06809812723574385,0.13543456723013256,0.4792656677421618,0.31102375149049594,11,11,7,9,2,0.275,0.275,0.175,0.225,0.05,9124.48,40,228.112,65.0,0.35,1500.0,349.56630113356914,Berlin,Berlin,Reuben Berlin,2024|2|reuben berlin,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|sam sachs,Sam Sachs,71.08,533.82,318.98,4556.8,0.0,0.012969193603713406,0.0974003225877081,0.05820080719910668,0.8314296766094718,0.0,13,9,2,11,0,0.37142857142857144,0.2571428571428571,0.05714285714285714,0.3142857142857143,0.0,5480.68,35,156.59085714285715,55.0,0.35,700.0,199.40495162256286,Sachs,Sachs,Sam Sachs,2024|2|sam sachs,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|sameer kanal,Sameer Kanal,224.62,3688.14,4044.8,7782.87,87226.02,0.0021814872708537584,0.03581885167450174,0.039282698393505844,0.07558646530010503,0.8471304973610335,28,72,23,14,29,0.1686746987951807,0.43373493975903615,0.13855421686746988,0.08433734939759036,0.1746987951807229,102966.45,166,620.2798192771085,63.56,0.07,11769.1,1566.1616246524195,Kanal,Kanal,Sameer Kanal,2024|2|sameer kanal,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|tiffani penson,Tiffani Penson,453.88,2749.42,4666.73,23278.78,112761.96,0.003153898766575983,0.019105032931169778,0.03242794128611777,0.16175842850399588,0.7835546985121404,32,42,28,41,35,0.1797752808988764,0.23595505617977527,0.15730337078651685,0.2303370786516854,0.19662921348314608,143910.77,178,808.4874719101123,161.695,2.1,14173.09,1802.1839986526866,Penson,Penson,Tiffani Penson,2024|2|tiffani penson,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|will mespelt,Will Mespelt,417.46,1114.92,2458.81,10022.2,2509.7799999999997,0.025265127696440813,0.06747615620973457,0.14880982281245062,0.6065543113095127,0.1518945819718613,43,17,15,20,2,0.44329896907216493,0.17525773195876287,0.15463917525773196,0.20618556701030927,0.020618556701030927,16523.17,97,170.34195876288658,55.88,0.35,1396.66,263.5506374361449,Mespelt,Mespelt,Will Mespelt,2024|2|will mespelt,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|ahlam k osman,Ahlam K Osman,155.57,195.86,1778.18,6076.5,37724.57,0.0033870606749127163,0.004264252129513433,0.03871442791615539,0.13229719220355543,0.821337067075863,18,5,9,12,8,0.34615384615384615,0.09615384615384616,0.17307692307692307,0.23076923076923078,0.15384615384615385,45930.68,52,883.2823076923077,171.175,0.35,17000.0,2608.0001118922264,Osman,Osman,Ahlam K Osman,2024|3|ahlam k osman,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|angelita morillo,Angelita Morillo,1599.21,6370.22,7762.77,33627.72,181229.47,0.006935314760145729,0.027625815741131887,0.03366490539742527,0.14583376971507664,0.7859401943862204,201,140,52,61,49,0.3996023856858847,0.2783300198807157,0.10337972166998012,0.12127236580516898,0.09741550695825049,230589.38999999998,503,458.42821073558645,36.0,0.2,20000.0,1773.1210460017908,Morillo,Morillo,Angelita Morillo,2024|3|angelita morillo,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|brian conley,Brian Conley,18.45,347.91999999999996,170.83,1682.23,0.0,0.008312945215663482,0.15676097015900478,0.07697021307272589,0.7579558715526059,0.0,5,7,1,4,0,0.29411764705882354,0.4117647058823529,0.058823529411764705,0.23529411764705882,0.0,2219.4300000000003,17,130.55470588235295,36.0,0.99,620.0,181.40711428709346,Conley,Conley,Brian Conley,2024|3|brian conley,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|chris flanary,Chris Flanary,658.58,821.94,1765.36,8913.83,44203.24,0.011684626159560493,0.01458298403472494,0.03132128463822422,0.15815052263942891,0.7842605825280614,73,15,11,17,11,0.5748031496062992,0.11811023622047244,0.08661417322834646,0.13385826771653545,0.08661417322834646,56362.95,127,443.8027559055118,16.98,0.2,14000.0,1568.855270558698,Flanary,Flanary,Chris Flanary,2024|3|chris flanary,matched_to_official_candidate
