year,district,candidate,candidate_norm,contribution_records,total_amount,first_record_date,last_record_date
2026,3,Esther Leon,esther leon,318,6820.43,2026-03-06 08:00:00+00:00,2026-07-28 07:00:00+00:00
2026,3,Joel Corcoran,joel corcoran,63,3990.0,2026-04-11 17:00:00+00:00,2026-07-26 07:00:00+00:00
2026,3,Kellie Torres,kellie torres,430,28938.0,2026-03-28 17:00:00+00:00,2026-07-25 17:00:00+00:00
2026,3,Michael Johnson,michael johnson,15,800.0,2026-02-16 12:00:00+00:00,2026-06-01 12:00:00+00:00
2026,3,Nicole Tignor Zimmerman,nicole tignor zimmerman,90,8365.0,2026-02-03 12:00:00+00:00,2026-07-23 12:00:00+00:00
2026,3,Steve Novick,steve novick,587,58752.99,2024-12-27 12:00:00+00:00,2026-07-28 12:00:00+00:00
2026,3,Tiffany Koyama Lane,tiffany koyama lane,1719,233415.22,2024-12-20 08:00:00+00:00,2026-08-06 07:00:00+00:00
2026,3,Tom Sollitt,tom sollitt,372,8620.0,0206-07-27 03:46:38+00:00,2026-08-01 07:00:00+00:00
2026,4,Eli Arnold,eli arnold,1032,159021.26,2025-10-24 07:00:00+00:00,2026-07-31 12:00:00+00:00
2026,4,Eric Zimmerman,eric zimmerman,389,106601.78,2025-01-02 12:00:00+00:00,2026-07-30 12:00:00+00:00
2026,4,Jamey Evenstar,jamey evenstar,402,16876.72,2026-05-16 07:00:00+00:00,2026-08-01 07:00:00+00:00
2026,4,Jayne Cronlund,jayne cronlund,314,10727.0,2026-07-10 12:00:00+00:00,2026-07-28 12:00:00+00:00
2026,4,Jeremy Beausoleil Smith,jeremy beausoleil smith,524,55680.14,2025-10-14 07:00:00+00:00,2026-08-05 07:00:00+00:00
2026,4,John Goldsmith,john goldsmith,1,600.0,2026-03-05 12:00:00+00:00,2026-03-05 12:00:00+00:00
2026,4,Mitch Green,mitch green,1551,161214.79,2024-12-20 08:00:00+00:00,2026-08-06 07:00:00+00:00
2026,4,Olivia Clark,olivia clark,845,166128.0,2025-01-02 12:00:00+00:00,2026-07-20 12:00:00+00:00
2026,4,TJ Anderson,tj anderson,1,40.0,2026-01-09 08:00:00+00:00,2026-01-09 08:00:00+00:00
