year,district,receiving_candidate,conditioning_candidate,boost
2024,2,Jonathan Tasini,Nat West,0.0857454916499727
2024,2,Jonathan Tasini,Tiffani Penson,-0.07479401630288438
2024,2,Jonathan Tasini,Marnie Glickman,0.15151191776632633
2024,2,Jonathan Tasini,Mariah Hudson,-0.1119935253404297
2024,2,Jonathan Tasini,Michael (Mike) Marshall,-0.0740552736206472
2024,2,Jonathan Tasini,James Armstrong,-0.17646161098743268
2024,2,Jonathan Tasini,Jennifer Park,0.199748040319421
2024,2,Jonathan Tasini,Bob Simril,-0.13706491241386073
2024,2,Jonathan Tasini,Debbie Kitchin,-0.10197820283710896
2024,2,Jonathan Tasini,Chris Olson,0.1979374119228317
2024,2,Jonathan Tasini,Nabil Zaghloul,-0.06247963611278895
2024,2,Jonathan Tasini,Laura Streib,-0.05448039627828405
2024,2,Jonathan Tasini,Liz Taylor,-0.13296548254336324
2024,2,Jonathan Tasini,Will Mespelt,-0.15486706342079645
2024,2,Jonathan Tasini,Reuben Berlin,-0.1476767798701316
2024,2,Jonathan Tasini,Sam Sachs,-0.09254229382781237
2024,2,Jonathan Tasini,Antonio Jamal PettyJohnBlue,-0.0938143457676536
2024,2,Jonathan Tasini,Uncertified Write In,-0.1343441613801084
2024,2,Marnie Glickman,Elana Pirtle-Guiney,0.02525517738190941
2024,2,Marnie Glickman,Dan Ryan,-0.11729806925868647
2024,2,Marnie Glickman,Michelle DePass,0.005308147204371116
2024,2,Marnie Glickman,Sameer Kanal,0.146748218614575
2024,2,Marnie Glickman,Nat West,0.11611048822444464
2024,2,Marnie Glickman,Tiffani Penson,-0.03354331083262305
2024,2,Marnie Glickman,Jonathan Tasini,0.1417806645114159
2024,2,Marnie Glickman,Mariah Hudson,-0.08817730580790126
2024,2,Marnie Glickman,Michael (Mike) Marshall,-0.07908872130562511
2024,2,Marnie Glickman,James Armstrong,-0.15529172756913995
2024,2,Marnie Glickman,Jennifer Park,0.21314383445379492
2024,2,Marnie Glickman,Bob Simril,-0.12722291668331848
