scope,district,outcome,predictor,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
all_districts,,mention_share,expenditure_share_mega,bin_shares,other,65,0.5698247754223027,7.260910464560264e-07,0.6073021782291086,8.152145212662039e-08,0.5698247754223027,0.6073021782291086,2.5413186625960925e-06,2.390797790638837e-07
all_districts,,first_place_share,total_spending,totals,other,65,0.5613261900919356,1.149058695291179e-06,0.7826486013986014,1.3553016884334747e-14,0.5613261900919356,0.7826486013986014,8.043410867038253e-06,1.8974223638068648e-13
all_districts,,first_place_share,expenditure_count,totals,record count,65,0.5938782111830303,1.8422066786097456e-07,0.6832397243524189,3.591345571292338e-10,0.5938782111830303,0.6832397243524189,2.579089350053644e-06,2.5139418999046367e-09
all_districts,,first_place_share,average_expenditure,totals,other,65,0.5371621045812036,3.962230510512641e-06,0.6086975524475525,7.473496372098028e-08,0.5371621045812036,0.6086975524475525,1.8490409049058993e-05,2.61572373023431e-07
all_districts,,first_place_share,median_expenditure,totals,other,65,0.17422185550237737,0.1651345107990707,0.3718048244042632,0.0022918029204490246,0.17422185550237737,0.3718048244042632,0.21017119556245364,0.002916840080571486
all_districts,,first_place_share,amount_share_micro,bin_shares,dollar share,65,-0.33088132285336547,0.007098709554857116,-0.5318618881118882,5.132979681813546e-06,0.33088132285336547,0.5318618881118882,0.012422741720999953,1.0265959363627091e-05
all_districts,,first_place_share,expenditure_share_micro,bin_shares,other,65,-0.2944979424287604,0.01725066403406169,-0.40673965786936706,0.0007731217648432746,0.2944979424287604,0.40673965786936706,0.024150929647686364,0.0010823704707805845
all_districts,,first_place_share,amount_share_small,bin_shares,dollar share,65,-0.3231319190965105,0.008653112546592862,-0.5087849650349651,1.5080210072562987e-05,0.3231319190965105,0.5087849650349651,0.013460397294700006,2.34581045573202e-05
all_districts,,first_place_share,expenditure_share_small,bin_shares,other,65,0.1429647613299424,0.2559140028979378,0.05826048951048951,0.6448064458573561,0.1429647613299424,0.05826048951048951,0.2985663367142608,0.6448064458573561
all_districts,,first_place_share,amount_share_medium,bin_shares,dollar share,65,-0.36872402424433076,0.0025083298126879873,-0.515777972027972,1.0968994236922315e-05,0.36872402424433076,0.515777972027972,0.005016659625375975,1.9195739914614054e-05
all_districts,,first_place_share,expenditure_share_medium,bin_shares,other,65,0.0318851278891827,0.8009310815062854,0.06704691974764766,0.5956551948443716,0.0318851278891827,0.06704691974764766,0.8009310815062854,0.6448064458573561
all_districts,,first_place_share,amount_share_large,bin_shares,dollar share,65,-0.46756328064157326,8.602621542863793e-05,-0.5628496503496503,1.0592879912636656e-06,0.46756328064157326,0.5628496503496503,0.0002007278360001552,2.47167197961522e-06
all_districts,,first_place_share,expenditure_share_large,bin_shares,other,65,-0.04083087180296077,0.7467434163288571,0.058698193821181265,0.6423193588029069,0.04083087180296077,0.058698193821181265,0.8009310815062854,0.6448064458573561
all_districts,,first_place_share,amount_share_mega,bin_shares,dollar share,65,0.5016493590737207,2.0719020303694743e-05,0.5996397498808683,1.30424943560025e-07,0.5016493590737207,0.5996397498808683,7.251657106293161e-05,3.6518984196807e-07
all_districts,,first_place_share,expenditure_share_mega,bin_shares,other,65,0.4828924607764114,4.620379295942643e-05,0.6160592391985262,4.691631011859617e-08,0.4828924607764114,0.6160592391985262,0.00012937062028639402,2.1894278055344879e-07
district,1,mention_share,total_spending,totals,other,11,0.43556208504145405,0.18055721908754765,0.9272727272727275,3.973774256558545e-05,0.43556208504145405,0.9272727272727275,0.28086678524729636,0.0005563283959181964
district,1,mention_share,expenditure_count,totals,record count,11,0.6017368789022898,0.050160035317216335,0.9090909090909091,0.00010559337630360876,0.6017368789022898,0.9090909090909091,0.0877800618051286,0.0007391536341252614
district,1,mention_share,average_expenditure,totals,other,11,0.6616252239969208,0.026603035144427082,0.6727272727272727,0.02331303983318598,0.6616252239969208,0.6727272727272727,0.07448849840439582,0.04971991006580492
district,1,mention_share,median_expenditure,totals,other,11,0.29272893322575144,0.38235408000442966,0.28181818181818186,0.4011448979604784,0.29272893322575144,0.28181818181818186,0.48663246546018324,0.5105480519496998
district,1,mention_share,amount_share_micro,bin_shares,dollar share,11,-0.6226987168703184,0.040726603274372844,-0.6454545454545455,0.031962799328017454,0.6226987168703184,0.6454545454545455,0.08145320654874569,0.04971991006580492
district,1,mention_share,expenditure_share_micro,bin_shares,other,11,-0.33271361770625807,0.3174335720905393,-0.3272727272727273,0.3258949410128414,0.33271361770625807,0.3272727272727273,0.444407000926755,0.4562529174179779
district,1,mention_share,amount_share_small,bin_shares,dollar share,11,-0.8487964583576355,0.0009520743832249008,-0.8090909090909091,0.002558580199713916,0.8487964583576355,0.8090909090909091,0.006664520682574306,0.008955030698998707
district,1,mention_share,expenditure_share_small,bin_shares,other,11,0.020551643172709244,0.952175040700922,-0.11818181818181818,0.7292847795197802,0.020551643172709244,0.11818181818181818,0.952175040700922,0.7853836087136095
district,1,mention_share,amount_share_medium,bin_shares,dollar share,11,-0.6655671872525428,0.025399591482518545,-0.6454545454545455,0.031962799328017454,0.6655671872525428,0.6454545454545455,0.07448849840439582,0.04971991006580492
district,1,mention_share,expenditure_share_medium,bin_shares,other,11,-0.1565865736962409,0.6456723080148702,0.045454545454545456,0.8944269969053026,0.1565865736962409,0.045454545454545456,0.6953394086313986,0.8944269969053026
district,1,mention_share,amount_share_large,bin_shares,dollar share,11,-0.6400818763669409,0.03389953433570342,-0.6636363636363638,0.02598413391876549,0.6400818763669409,0.6636363636363638,0.07909891344997465,0.04971991006580492
district,1,mention_share,expenditure_share_large,bin_shares,other,11,0.2069274265082484,0.5415355429498602,0.22727272727272727,0.5015356676049371,0.2069274265082484,0.22727272727272727,0.6317914667748369,0.5851249455390932
district,1,mention_share,amount_share_mega,bin_shares,dollar share,11,0.8633916274908824,0.0006164220224312486,0.8095212630466697,0.0025344078152440123,0.8633916274908824,0.8095212630466697,0.006664520682574306,0.008955030698998707
district,1,mention_share,expenditure_share_mega,bin_shares,other,11,0.6623165608261101,0.026389124031695813,0.7816067367347156,0.004491223707099523,0.6623165608261101,0.7816067367347156,0.07448849840439582,0.012575426379878664
district,1,first_place_share,total_spending,totals,other,11,0.47142734110806606,0.1432507844940672,0.8363636363636365,0.001333185079950856,0.47142734110806606,0.8363636363636365,0.20055109829169407,0.009332295559655993
district,1,first_place_share,expenditure_count,totals,record count,11,0.6097151008233392,0.046409477355074,0.8636363636363636,0.00061169385009317,0.6097151008233392,0.8636363636363636,0.11665021420201362,0.00856371390130438
district,1,first_place_share,average_expenditure,totals,other,11,0.6079125215130088,0.04723938592460481,0.6545454545454547,0.028864598957001896,0.6079125215130088,0.6545454545454547,0.11665021420201362,0.05772919791400379
district,1,first_place_share,median_expenditure,totals,other,11,0.38439053046482463,0.24312332361678335,0.44545454545454555,0.1697326049268118,0.38439053046482463,0.44545454545454555,0.3094296846031788,0.21602331536139685
district,1,first_place_share,amount_share_micro,bin_shares,dollar share,11,-0.6163277330972001,0.043451063137760725,-0.6818181818181819,0.02084285361094508,0.6163277330972001,0.6818181818181819,0.11665021420201362,0.04863332509220519
district,1,first_place_share,expenditure_share_micro,bin_shares,other,11,-0.4818755044013907,0.1333809008163867,-0.5090909090909091,0.10973723224165632,0.4818755044013907,0.5090909090909091,0.20055109829169407,0.16422952421993342
district,1,first_place_share,amount_share_small,bin_shares,dollar share,11,-0.7044362967150961,0.015513214445507024,-0.7000000000000001,0.016470978836514424,0.7044362967150961,0.7000000000000001,0.10859250111854918,0.046118740742240386
district,1,first_place_share,expenditure_share_small,bin_shares,other,11,0.15408325819314156,0.651023006350113,-0.045454545454545456,0.8944269969053026,0.15408325819314156,0.045454545454545456,0.7011016991462755,0.8944269969053026
district,1,first_place_share,amount_share_medium,bin_shares,dollar share,11,-0.5926292975065135,0.054689766549399305,-0.5,0.11730680301423817,0.5926292975065135,0.5,0.11665021420201362,0.16422952421993342
district,1,first_place_share,expenditure_share_medium,bin_shares,other,11,0.07638951721315627,0.8233547095202034,0.22727272727272727,0.5015356676049371,0.07638951721315627,0.22727272727272727,0.8233547095202034,0.5401153343437783
district,1,first_place_share,amount_share_large,bin_shares,dollar share,11,-0.5856860921499343,0.05832510710100681,-0.5727272727272729,0.0655430526010185,0.5856860921499343,0.5727272727272729,0.11665021420201362,0.11470034205178238
district,1,first_place_share,expenditure_share_large,bin_shares,other,11,0.3189136633179325,0.33912595651829097,0.33636363636363636,0.31182431390038634,0.3189136633179325,0.33636363636363636,0.3956469492713395,0.36379503288378406
district,1,first_place_share,amount_share_mega,bin_shares,dollar share,11,0.7744229155512684,0.005137466481922457,0.7397349472667843,0.009259705822555754,0.7744229155512684,0.7397349472667843,0.0719245307469144,0.03240897037894514
district,1,first_place_share,expenditure_share_mega,bin_shares,other,11,0.5641756315503386,0.07062281138925625,0.7490397893707691,0.007976939282996528,0.5641756315503386,0.7490397893707691,0.12358991993119843,0.03240897037894514
district,2,mention_share,total_spending,totals,other,19,0.7501557300130992,0.00021634826422196283,0.743859649122807,0.00026109310131084345,0.7501557300130992,0.743859649122807,0.0030288756991074797,0.0012184344727839361
district,2,mention_share,expenditure_count,totals,record count,19,0.43516931553456706,0.06258450760997548,0.38437915064969924,0.10419285170041294,0.43516931553456706,0.38437915064969924,0.07965300968542334,0.13260908398234375
district,2,mention_share,average_expenditure,totals,other,19,0.6741834175190653,0.001548195605314164,0.6736842105263158,0.001565449761605664,0.6741834175190653,0.6736842105263158,0.006911082064460092,0.0043832593324958586
district,2,mention_share,median_expenditure,totals,other,19,0.2780903726434926,0.2489949401047696,0.3877192982456141,0.10096515099755299,0.2780903726434926,0.3877192982456141,0.2681483970359057,0.13260908398234375
