scope,district,outcome,predictor,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
all_districts,,first_place_share,contribution_share_medium,bin_shares,other,65,0.019397300839776026,0.8781096336328567,0.31418923438674556,0.010808652265288727,0.019397300839776026,0.31418923438674556,0.9546957781102835,0.029694601472914185
all_districts,,first_place_share,amount_share_large,bin_shares,dollar share,65,-0.08966971827976378,0.47748966852593855,0.015481503820136567,0.9025811799768872,0.08966971827976378,0.015481503820136567,0.6977366012247282,0.9025811799768872
all_districts,,first_place_share,contribution_share_large,bin_shares,other,65,-0.05875874504223551,0.6419756068907004,0.12927493020430422,0.30473168461836125,0.05875874504223551,0.12927493020430422,0.8170598633154369,0.42662435846570573
all_districts,,first_place_share,amount_share_mega,bin_shares,dollar share,65,0.2703434133358173,0.029404605457273705,0.34733006566866137,0.004585991438805205,0.2703434133358173,0.34733006566866137,0.10291611910045798,0.016050970035818218
all_districts,,first_place_share,contribution_share_mega,bin_shares,other,65,0.3708851428365602,0.0023546212551092205,0.3525324495498641,0.003974909869715711,0.3708851428365602,0.3525324495498641,0.01098823252384303,0.016050970035818218
district,1,mention_share,total_amount,totals,dollar amount,13,0.9192339365039561,8.891352241864469e-06,0.9230769230769231,6.851685949643353e-06,0.9192339365039561,0.9230769230769231,0.00012447893138610257,4.796180164750347e-05
district,1,mention_share,total_contribution_count,totals,record count,13,0.8975932508698521,3.143896869168284e-05,0.9340659340659341,2.9987037500995772e-06,0.8975932508698521,0.9340659340659341,0.0002200727808417799,4.1981852501394086e-05
district,1,mention_share,average_contribution,totals,other,13,-0.17008485555504185,0.5785302628029475,-0.054945054945054944,0.8585042942308734,0.17008485555504185,0.054945054945054944,0.8099423679241264,0.8585042942308734
district,1,mention_share,median_contribution,totals,other,13,-0.3169684256394052,0.29132726682215176,-0.24270214453760908,0.4243154297711065,0.3169684256394052,0.24270214453760908,0.49449184437912364,0.6740119241466531
district,1,mention_share,amount_share_micro,bin_shares,dollar share,13,0.30084481980713695,0.31788761424372236,0.26373626373626374,0.3839365166506742,0.30084481980713695,0.26373626373626374,0.49449184437912364,0.6740119241466531
district,1,mention_share,contribution_share_micro,bin_shares,other,13,0.3985956483060792,0.17731428997407256,0.34615384615384615,0.24662526251007164,0.3985956483060792,0.34615384615384615,0.413733343272836,0.5754589458568339
district,1,mention_share,amount_share_small,bin_shares,dollar share,13,-0.36833443964200163,0.21558517110723907,-0.3736263736263736,0.20855405979520913,0.36833443964200163,0.3736263736263736,0.43117034221447814,0.5754589458568339
district,1,mention_share,contribution_share_small,bin_shares,other,13,-0.43950003473382454,0.13291971849093778,-0.23076923076923078,0.4481273823153657,0.43950003473382454,0.23076923076923078,0.37217521177462576,0.6740119241466531
district,1,mention_share,amount_share_medium,bin_shares,dollar share,13,0.1324117161459616,0.6663085421102978,-0.08241758241758242,0.788950927847518,0.1324117161459616,0.08241758241758242,0.8196847568689857,0.8496394607588654
district,1,mention_share,contribution_share_medium,bin_shares,other,13,0.09355304226776681,0.7611358456640581,0.13186813186813187,0.6676075762175147,0.09355304226776681,0.13186813186813187,0.8196847568689857,0.7788755055871005
district,1,mention_share,amount_share_large,bin_shares,dollar share,13,-0.03235764716042113,0.9164253401971547,0.15955998588541156,0.6025824632276242,0.03235764716042113,0.15955998588541156,0.9164253401971547,0.7669231350169763
district,1,mention_share,contribution_share_large,bin_shares,other,13,-0.10811385624667849,0.7251641643598029,0.2145806706734845,0.4814370886761808,0.10811385624667849,0.2145806706734845,0.8196847568689857,0.6740119241466531
district,1,mention_share,amount_share_mega,bin_shares,dollar share,13,0.5372695875571645,0.058297609281510586,0.5590852462516898,0.04699134461660141,0.5372695875571645,0.5590852462516898,0.20404163248528706,0.16446970615810497
district,1,mention_share,contribution_share_mega,bin_shares,other,13,0.5508535935128787,0.05105393460853563,0.5765566601970552,0.03914622946156462,0.5508535935128787,0.5765566601970552,0.20404163248528706,0.16446970615810497
district,1,first_place_share,total_amount,totals,dollar amount,13,0.7582953323800106,0.00266313000156827,0.7527472527472527,0.002982233389169849,0.7582953323800106,0.7527472527472527,0.03550634703390943,0.025909196150268404
district,1,first_place_share,total_contribution_count,totals,record count,13,0.7216885063311045,0.005353632854366258,0.7417582417582418,0.003701313735752629,0.7216885063311045,0.7417582417582418,0.03550634703390943,0.025909196150268404
district,1,first_place_share,average_contribution,totals,other,13,-0.06696850252625726,0.8279191683980618,0.016483516483516484,0.9573761750901848,0.06696850252625726,0.016483516483516484,0.9035486216169162,0.9573761750901848
district,1,first_place_share,median_contribution,totals,other,13,-0.17403700650455664,0.5695996851885752,-0.22772053067726283,0.4543130984128523,0.17403700650455664,0.22772053067726283,0.8860439547377835,0.53585599984584
district,1,first_place_share,amount_share_micro,bin_shares,dollar share,13,0.18985112066783916,0.534443475990033,0.24175824175824176,0.4261755195945089,0.18985112066783916,0.24175824175824176,0.8860439547377835,0.53585599984584
district,1,first_place_share,contribution_share_micro,bin_shares,other,13,0.2997865228397553,0.31967684466982976,0.32967032967032966,0.2713350545052358,0.2997865228397553,0.32967032967032966,0.6393536893396595,0.5340332580511163
district,1,first_place_share,amount_share_small,bin_shares,dollar share,13,-0.4079542925642276,0.16642184805225743,-0.5659340659340659,0.043792592235454855,0.4079542925642276,0.5659340659340659,0.4659811745463208,0.13157576492648396
